Common Name,Scientific Name,Occurrence,Classification,Federal,State,Source,Abundance Codes,Nests Locally
House Sparrow,Passer domesticus,nests locally,non-native,,,USFWS ServCat bird checklist 2008,u u u u,yes
Townsend's Warbler,Dendroica townsendi,rare,native,,,USFWS ServCat bird checklist 2008,r r r,
Palm Warbler,Dendroica palmarum,rare,native,,,USFWS ServCat bird checklist 2008,r,
Blackpoll Warbler,Dendroica striata,rare,native,,,USFWS ServCat bird checklist 2008,r,
Northern Waterthrush,Seiurus noveboracensis,rare,native,,,USFWS ServCat bird checklist 2008,r r,
Common Yellowthroat,Geothlypis trichas,nests locally,,,,USFWS ServCat bird checklist 2008,c c c c,yes
Wilson's Warbler,Wilsonia pusilla,uncommon,native,,,USFWS ServCat bird checklist 2008,u u,
Western Tanager,Piranga ludoviciana,occasional,native,,,USFWS ServCat bird checklist 2008,o o,
Spotted Towhee,Pipilo maculatus,occasional,native,,,USFWS ServCat bird checklist 2008,o,
California Towhee,Pipilo crissalis,nests locally,native,,,USFWS ServCat bird checklist 2008,c c c c,yes
Savannah Sparrow,Passerculus sandwichensis,nests locally,,,,USFWS ServCat bird checklist 2008,c c c c,yes
Brown Booby,Sula leucogaster,accidental,native,,,USFWS ServCat bird checklist 2008,,
Magnificent Frigatebird,Fregata magnificens,accidental,native,,,USFWS ServCat bird checklist 2008,,
Glossy Ibis,Plegadis falcinellus,accidental,native,,,USFWS ServCat bird checklist 2008,,
Wild Turkey,Meleagris gallopavo,accidental,native,,,USFWS ServCat bird checklist 2008,,
Black Oystercatcher,Haematopus bachmani,accidental,native,,,USFWS ServCat bird checklist 2008,,
Solitary Sandpiper,Tringa solitaria,accidental,native,,,USFWS ServCat bird checklist 2008,,
Hudsonian Godwit,Limosa haemastica,accidental,native,,,USFWS ServCat bird checklist 2008,,
Bar-tailed Godwit,Limosa lapponica,accidental,native,,,USFWS ServCat bird checklist 2008,,
Surfbird,Aphriza virgata,accidental,native,,,USFWS ServCat bird checklist 2008,,
Little Stint,Calidris minuta,accidental,native,,,USFWS ServCat bird checklist 2008,,
Sharp-tailed Sandpiper,Calidris acuminata,accidental,native,,,USFWS ServCat bird checklist 2008,,
Curlew Sandpiper,Calidris ferruginea,accidental,native,,,USFWS ServCat bird checklist 2008,,
Buff-breasted Sandpiper,Tryngites subruficollis,accidental,native,,,USFWS ServCat bird checklist 2008,,
Little Gull,Larus minutus,accidental,native,,,USFWS ServCat bird checklist 2008,,
Black-headed Gull,Larus ridibundus,accidental,native,,,USFWS ServCat bird checklist 2008,,
Lesser Black-backed Gull,Larus fuscus,accidental,native,,,USFWS ServCat bird checklist 2008,,
Slaty-backed Gull,Larus schistisagus,accidental,native,,,USFWS ServCat bird checklist 2008,,
Arctic Tern,Sterna paradisaea,accidental,native,,,USFWS ServCat bird checklist 2008,,
Ancient Murrelet,Synthliboramphus antiquus,accidental,native,,,USFWS ServCat bird checklist 2008,,
Pigeon Guillemot,Cepphus columba,accidental,native,,,USFWS ServCat bird checklist 2008,,
Band-tailed Pigeon,Columba fasciata,accidental,native,,,USFWS ServCat bird checklist 2008,,
Chimney Swift,Chaetura pelagica,accidental,native,,,USFWS ServCat bird checklist 2008,,
Black-chinned Hummingbird,Archilochus alexandri,accidental,native,,,USFWS ServCat bird checklist 2008,,
Least Flycatcher,Empidonax minimus,accidental,native,,,USFWS ServCat bird checklist 2008,,
Dusky Flycatcher,Empidonax oberholseri,accidental,native,,,USFWS ServCat bird checklist 2008,,
Hammond's Flycatcher,Empidonax hammondii,accidental,native,,,USFWS ServCat bird checklist 2008,,
Tropical Kingbird,Tyrannus melancholicus,accidental,native,,,USFWS ServCat bird checklist 2008,,
Cassin's Kingbird,Tyrannus vociferans,accidental,native,,,USFWS ServCat bird checklist 2008,,
Hutton's Vireo,Vireo huttoni,accidental,native,,,USFWS ServCat bird checklist 2008,,
Solitary Vireo,,accidental,,,,USFWS ServCat bird checklist 2008,,
White Wagtail,Motacilla alba,accidental,native,,,USFWS ServCat bird checklist 2008,,
American Redstart,Setophaga ruticilla,accidental,native,,,USFWS ServCat bird checklist 2008,,
Magnolia Warbler,Dendroica magnolia,accidental,native,,,USFWS ServCat bird checklist 2008,,
Yellow-breasted Chat,Icteria virens,accidental,native,,SSC,USFWS ServCat bird checklist 2008,,
Sage Sparrow,Amphispiza belli,accidental,native,,,USFWS ServCat bird checklist 2008,,
Chipping Sparrow,Spizella passerina,accidental,native,,,USFWS ServCat bird checklist 2008,,
Clay-colored Sparrow,Spizella pallida,accidental,native,,,USFWS ServCat bird checklist 2008,,
Brewer's Sparrow,Spizella breweri,accidental,native,,,USFWS ServCat bird checklist 2008,,
Vesper Sparrow,Pooecetes gramineus,accidental,native,,,USFWS ServCat bird checklist 2008,,
Lark Sparrow,Chondestes grammacus,accidental,native,,,USFWS ServCat bird checklist 2008,,
Chestnut-collared Longspur,Calcarius ornatus,accidental,native,,,USFWS ServCat bird checklist 2008,,
Pine Siskin,Spinus pinus,accidental,native,,,USFWS ServCat bird checklist 2008,,
